日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
44927 | B09YQ2WX1M,2023/1/1,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,1,11
44927 | B0B3D95HVB,2023/1/1,FT22052501,21-23福特bronco越野版后备箱挂钩（4门）--铝合金黑色T形款（2个装）KJ,B0B3D95HVB,1,
44928 | B0B1X9ZYSW,2023/1/2,AMZFT22101904,21-23福特bronco越野版tpe吸塑脚垫+后备箱垫+椅背垫+后备箱下层垫（4门）--米粒纹KJ,B0B1X9ZYSW,1,
44928 | B09QM9JJN8,2023/1/2,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,1,3
44928 | B09QMC4XFX,2023/1/2,FT22011103,21-23福特bronco越野版tpe吸塑后备箱垫（4门）--米粒纹KJ,B09QMC4XFX,1,19
44928 | B09S3SKYQP,2023/1/2,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,1,7
44928 | B09V2HBLSZ,2023/1/2,FT22022505,21-23福特bronco越野版遮阳挡（2/4门）--前挡铝箔KJ,B09V2HBLSZ,1,2
44928 | B09VL31QV5,2023/1/2,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,1,37
44928 | B09X459JVM,2023/1/2,FT22040301,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--硅胶升级款（带孔）KJ,B09X459JVM,2,12
44928 | B09YQ2WX1M,2023/1/2,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,1,8
44928 | B09Z2DN5FB,2023/1/2,FT22042601,21-23福特bronco越野版手套箱隔板（2/4门）--4件套KJ,B09Z2DN5FB,1,
44928 | B0B5CWQXBF,2023/1/2,FT22062711,21-23福特bronco越野版座垫（4门）--半包黑色潜水料（KJ包销）,B0B5CWQXBF,1,
44928 | B0BJTZ1Z27,2023/1/2,FT22092811,21-23福特bronco越野版延伸轮眉（2/4门铁杠标准轮眉）--1对装KJ,B0BJTZ1Z27,1,2
44928 | B0BD54S1Q2,2023/1/2,FT23012909,21-23福特bronco越野版晴雨挡（4门）--升级款4件装（KJ）,B0BD54S1Q2,1,
