日期ASIN组合,日期,sku,品名,ASIN,求和项:销量
44927-B0BJVB2VDY,2023/1/1,AMZFT22101901,21-23福特bronco越野版车门拓展储物盒（2/4门）abs+tpe款前门1对装+前门拉手储物盒abs粘贴款1对装KJ,B0BJVB2VDY,1
44927-B0B1X9ZYSW,2023/1/1,AMZFT22101904,21-23福特bronco越野版tpe吸塑脚垫+后备箱垫+椅背垫+后备箱下层垫（4门）--米粒纹KJ,B0B1X9ZYSW,2
44927-B09QM9JJN8,2023/1/1,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,2
44927-B09QMC4XFX,2023/1/1,FT22011103,21-23福特bronco越野版tpe吸塑后备箱垫（4门）--米粒纹KJ,B09QMC4XFX,7
44927-B09QM8W8Y7,2023/1/1,FT22011501,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--abs硅胶垫款KJ,B09QM8W8Y7,3
44927-B09S3SKYQP,2023/1/1,FT22011502,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs+tpe款前门一对装KJ,B09S3SKYQP,4
44927-B09SYTSCT1,2023/1/1,FT22020901,21-23福特bronco越野版扶手箱套（2/4门）--tpe款KJ,B09SYTSCT1,1
44927-B09V77B6VV,2023/1/1,FT22022401,21-23福特bronco越野版tpe吸塑后备箱下层垫（2/4门）--米粒纹KJ,B09V77B6VV,2
44927-B09V2HBLSZ,2023/1/1,FT22022505,21-23福特bronco越野版遮阳挡（2/4门）--前挡铝箔KJ,B09V2HBLSZ,2
44927-B09VL31QV5,2023/1/1,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,21
44927-B09WR3FM5S,2023/1/1,FT22031810,21-23福特bronco越野版前门拉手储物盒（2/4门）--abs粘贴款1对装KJ,B09WR3FM5S,2
44927-B09X2WZKM5,2023/1/1,FT22032802,21-23福特bronco越野版油门刹车踏板（2/4门）--铝合金银色KJ,B09X2WZKM5,1
44927-B09X459JVM,2023/1/1,FT22040301,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--硅胶升级款（带孔）KJ,B09X459JVM,8
44927-B09X45K866,2023/1/1,FT22040302,21-23福特bronco越野版扶手箱储物盒上层（升级款）+下层（2/4门）--abs硅胶垫款（2件装）KJ,B09X45K866,6
44927-B0B1WFPQ98,2023/1/1,FT22042301,21-23福特bronco越野版tpe吸塑后备箱垫（2门）--米粒纹KJ,B0B1WFPQ98,3
44927-B0B213STBL,2023/1/1,FT22042302,21-23福特bronco越野版tpe吸塑椅背垫（2门）--米粒纹2片装KJ,B0B213STBL,6
44927-B09YQ2WX1M,2023/1/1,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,11
